commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
ASPET,*0310001H*,CLG    ARMAND LATOUR, ASPET Midi-Pyrenees France,IEN:,CLG,;2956 ULIS        UPI OPTION D 100 %    1.00,5,NA,NA,NA,NA,NA,NA
ASPET,*0310268Y*,E.P.PU GERMAINE BARÈS,PRE COMMUN ASPET Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.P.PU,;2782 MAITRE SUP MSUP SANS SPEC.100 %           1.00,5,NA,NA,NA,NA,NA,NA
AUCAMVILLE,*0311632F*,CLG    LES VIOLETTES,3 AVENUE DES PINS AUCAMVILLE Midi-Pyrenees France,IEN:,CLG,;2981 ULIS        UPI OPTION D 100 %            1.00,6,NA,NA,NA,NA,NA,NA
AURIGNAC,*0310279K*,IME    HENRI DINGUIRARD,HAMEAU DE DABEAUX AURIGNAC Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 20 TLSE ASH1,IME,;1495 CORPED      CPUE OPTION D 100 %           1.00,6,NA,NA,NA,NA,NA,NA
AUSSONNE,*0312729Y*,CLG    GERMAINE TILLION,500 ROUTE DE MERVILLE AUSSONNE Midi-Pyrenees France,IEN:,CLG,;2998 ULIS        UPI OPTION D 100 %            1.00,6,NA,NA,NA,NA,NA,NA
AUSSONNE,*0311646W*,E.P.PU JULES FERRY,ROUTE DE MERVILLE AUSSONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.P.PU,;1522 DECH DIR    DCOM SANS SPEC.100 %          1.00,6,NA,NA,NA,NA,NA,NA
AUSSONNE,*0312872D*,E.P.PU LOUISE MICHEL,351 CHEMIN DE LAS ARJILOS AUSSONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.P.PU,;1552 DECH DIR    DCOM SANS SPEC.100 %          1.00,6,NA,NA,NA,NA,NA,NA
AUTERIVE,*0310084Y*,CLG    ANTONIN PERBOSC,18 BIS AVENUE D'HERMANNSBURG AUTERIVE Midi-Pyrenees France,IEN:,CLG,;2967 ULIS        UPI OPTION D 100 %            1.00,6,NA,NA,NA,NA,NA,NA
BALMA,*0311330C*,CLG    JEAN ROSTAND,2 AVENUE GEORGES PRADEL BALMA Midi-Pyrenees France,IEN:,CLG,;2975 ULIS        UPI OPTION D 100 %            1.00,6,NA,NA,NA,NA,NA,NA
BALMA,*0312891Z*,E.P.PU JOSÉ CABANIS,2 RUE COLETTE BALMA Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 7 ROUFFIAC-TOLOSAN,E.P.PU,;1554 DECH DIR    DCOM SANS SPEC.100 %  1.00,7,NA,NA,NA,NA,NA,NA
BEAUZELLE,*0310317B*,E.E.PU LES CHÊNES,2 BIS RUE DES ECOLES BEAUZELLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.E.PU,;1507 DECH DIR    DCOM SANS SPEC.100 %          1.00;2752 ENS.IT.SPE ITIN PRIMO ARRI100 %           1.00,7,NA,NA,NA,NA,NA,NA
BLAGNAC,*0312602K*,IEN    HAUTE GARONNE 18 BLAGNA,11 BIS AVENUE DU PARC BLAGNAC Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,IEN,;1333 T.R.S.      9010 SANS SPEC.100 %         10.00;2923 REFERENT    REF SANS SPEC.100 %           2.00 POSTE EN ASH,7,NA,NA,NA,NA,NA,10
